Mario1	
location	value
0	111
1	111
2	111
3	111
4	111
5	100
6	100
7	100
8	100
9	100
10	100
11	111
12	111
13	111
14	111
15	111
16	111
17	111
18	111
19	111
20	100
21	100
22	100
23	100
24	100
25	100
26	100
27	100
28	100
29	100
30	111
31	111
32	111
33	111
34	111
35	111
36	000
37	000
38	000
39	101
40	101
41	101
42	000
43	101
44	111
45	111
46	111
47	111
48	111
49	111
50	111
51	000
52	101
53	000
54	101
55	101
56	101
57	101
58	000
59	101
60	101
61	101
62	111
63	111
64	111
65	111
66	111
67	000
68	101
69	000
70	101
71	101
72	101
73	101
74	101
75	000
76	101
77	101
78	101
79	111
80	111
81	111
82	111
83	000
84	000
85	101
86	101
87	101
88	101
89	101
90	000
91	000
92	000
93	000
94	111
95	111
96	111
97	111
98	111
99	111
100	111
101	101
102	101
103	101
104	101
105	101
106	101
107	101
108	101
109	111
110	111
111	111
112	111
113	111
114	111
115	111
116	100
117	100
118	001
119	100
120	100
121	100
122	001
123	111
124	111
125	111
126	111
127	111
128	111
129	111
130	111
131	100
132	100
133	100
134	001
135	001
136	001
137	001
138	100
139	100
140	100
141	111
142	111
143	111
144	111
145	111
146	100
147	100
148	100
149	100
150	001
151	001
152	001
153	001
154	100
155	100
156	100
157	100
158	111
159	111
160	111
161	111
162	101
163	101
164	100
165	001
166	110
167	001
168	001
169	110
170	001
171	100
172	101
173	101
174	111
175	111
176	111
177	111
178	101
179	101
180	101
181	001
182	001
183	001
184	001
185	001
186	001
187	101
188	101
189	101
190	111
191	111
192	111
193	111
194	101
195	101
196	001
197	001
198	001
199	001
200	001
201	001
202	001
203	001
204	101
205	101
206	111
207	111
208	111
209	111
210	111
211	111
212	001
213	001
214	001
215	111
216	111
217	001
218	001
219	001
220	111
221	111
222	111
223	111
224	111
225	111
226	111
227	000
228	000
229	000
230	000
231	111
232	111
233	000
234	000
235	000
236	000
237	111
238	111
239	111
240	111
241	111
242	000
243	000
244	000
245	000
246	000
247	111
248	111
249	000
250	000
251	000
252	000
253	000
254	111
255	111
